date,actual_price,forecast_price_ag,forecast_price_naive,actual_log_return,forecast_log_return_ag,forecast_log_return_naive,forecast_volatility_ag,forecast_variance_ag,forecast_variance_ewma,actual_variance_proxy,var_thresh_ag,es_ag,violation_ag,var_thresh_ewma,es_ewma,violation_ewma
2023-11-28,58.19437027,56.00383493,55.06462097,0.05528120,0.01691275,0.00000000,0.07058502,0.00498224,0.00449658,0.00305601,-0.09710849,-0.13605413,0,-0.11029819,-0.13831838,0
2023-11-29,59.25012970,59.18986300,58.19437027,0.01797935,0.01696167,0.00000000,0.06711320,0.00450418,0.00441014,0.00032326,-0.09145196,-0.12847986,0,-0.10923296,-0.13698253,0
2023-11-30,59.24162292,60.17170056,59.25012970,-0.00014358,0.01543418,0.00000000,0.06453299,0.00416451,0.00416493,0.00000002,-0.08834843,-0.12532216,0,-0.10615274,-0.13311981,0
2023-12-01,59.80399704,60.18283657,59.24162292,0.00944811,0.01576282,0.00000000,0.05995812,0.00359498,0.00391504,0.00008927,-0.08024836,-0.11571706,0,-0.10291891,-0.12906447,0
2023-12-02,63.83285904,60.75596208,59.80399704,0.06519559,0.01579272,0.00000000,0.04192062,0.00175734,0.00368549,0.00425047,-0.05058476,-0.07714904,0,-0.09985617,-0.12522367,0
2023-12-03,63.03996658,64.93978503,63.83285904,-0.01249917,0.01719237,0.00000000,0.05851258,0.00342372,0.00371939,0.00015623,-0.07637066,-0.11132463,0,-0.10031435,-0.12579824,0
2023-12-04,61.52661514,64.14093258,63.03996658,-0.02429907,0.01731382,0.00000000,0.05028468,0.00252855,0.00350560,0.00059044,-0.06307461,-0.09315869,0,-0.09738867,-0.12212932,0
2023-12-05,60.99483109,62.54214882,61.52661514,-0.00868072,0.01637086,0.00000000,0.05431708,0.00295035,0.00333069,0.00007535,-0.07056543,-0.10280489,0,-0.09492801,-0.11904356,0
2023-12-06,61.90295792,61.99832324,60.99483109,0.01477884,0.01631822,0.00000000,0.04900277,0.00240127,0.00313537,0.00021841,-0.06238249,-0.09075258,0,-0.09210255,-0.11550032,0
2023-12-07,67.83782959,62.93902626,61.90295792,0.09155203,0.01659846,0.00000000,0.04603718,0.00211942,0.00296035,0.00838177,-0.05726695,-0.08411639,0,-0.08949505,-0.11223040,0
2023-12-08,75.00243378,69.13870865,67.83782959,0.10040057,0.01899476,0.00000000,0.06644213,0.00441456,0.00328564,0.01008027,-0.08820848,-0.12525410,0,-0.09428381,-0.11823570,0
